Fault,longitude,latitude,depth,strike,length,width,dip
    30.1000,     235.7700,      40.4600,      11.0000,     358.0000,      70.0000,      41.3400,      14.0000
    30.2000,     235.6900,      41.0900,      11.0000,     358.0000,      70.0000,      44.4500,      13.0000
    31.1000,     235.3000,      40.5300,       1.0000,     358.0000,      55.0000,      41.3400,      14.0000
    31.2000,     235.1800,      41.0900,       1.0000,     358.0000,      70.0000,      44.4500,      13.0000
    32.0000,     235.5400,      41.9800,      11.0000,     358.0000,     126.0000,      52.4100,      11.0000
    33.0000,     234.9300,      41.9700,       1.0000,     358.0000,     126.0000,      52.4100,      11.0000
    34.0000,     235.4200,      43.1200,      11.0000,     359.0000,     126.0000,      63.9200,       9.0000
    35.0000,     234.7300,      43.1100,       1.0000,     359.0000,     126.0000,      56.8570,       9.0000
    36.0000,     235.1700,      44.2800,      11.0000,     358.0000,     126.0000,      57.5900,      10.0000
    37.0000,     234.3300,      44.2400,       1.0000,     359.0000,     126.0000,      67.9800,       9.0000
    38.0000,     235.0800,      45.4600,      11.0000,     358.0000,     137.0000,      57.5900,      10.0000
    39.0000,     234.2200,      45.4200,       1.0000,     358.0000,     137.0000,      68.2230,       9.0000
    40.0000,     235.0300,      46.6200,      11.0000,     358.0000,     115.0000,      63.9200,       9.0000
    41.0000,     234.1600,      46.5000,       1.0000,     359.0000,     105.0000,      67.9790,       9.0000
    42.0000,     234.7900,      47.5900,      11.0000,     337.0000,     125.0000,      71.8500,       8.0000
    43.0000,     233.9660,      47.3500,       1.0000,     337.0000,     100.0000,      68.6000,       8.0000
    44.1000,     233.9200,      48.4200,      11.0000,     322.0000,     103.0000,      44.4500,      13.0000
    44.2000,     233.0500,      49.1400,      11.0000,     322.0000,     103.0000,      44.4500,      13.0000
    45.1000,     233.4100,      48.1700,       1.0000,     322.0000,     103.0000,      48.1000,      12.0000
    45.2000,     232.5400,      48.8900,       1.0000,     322.0000,     103.0000,      48.1000,      12.0000
